Tract Code,Tract Income Level,Distressed or Under-served Tract,Tract Median Family Income %,2019 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2019 Est. Tract Median Family Income,2015 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units,Year,County
0035.00,Upper,No,135.53,"$103,400","$140,138","$125,125",3960,18.41,729,1019,1351,2018,King
0036.00,Upper,No,129.30,"$103,400","$133,696","$119,375",6122,23.60,1445,866,1544,2018,King
0038.00,Upper,No,136.75,"$103,400","$141,400","$126,250",2165,22.68,491,609,759,2018,King
0039.00,Upper,No,144.96,"$103,400","$149,889","$133,826",3080,17.63,543,858,1064,2018,King
0040.00,Upper,No,161.35,"$103,400","$166,836","$148,958",3125,26.75,836,841,702,2018,King
0041.00,Upper,No,179.00,"$103,400","$185,086","$165,250",7868,17.88,1407,1921,2688,2018,King
0042.00,Upper,No,144.88,"$103,400","$149,806","$133,750",8176,18.86,1542,2423,2875,2018,King
0043.01,Upper,No,147.00,"$103,400","$151,998","$135,714",3548,30.21,1072,768,977,2018,King
0043.02,Moderate,No,51.50,"$103,400","$53,251","$47,548",3703,38.29,1418,118,252,2018,King
0044.00,Upper,No,137.43,"$103,400","$142,103","$126,875",6607,23.87,1577,595,1285,2018,King
0045.00,Middle,No,117.34,"$103,400","$121,330","$108,333",3052,20.74,633,625,1008,2018,King
0046.00,Upper,No,139.46,"$103,400","$144,202","$128,750",3464,16.40,568,969,1348,2018,King
0047.00,Middle,No,106.06,"$103,400","$109,666","$97,917",8395,18.21,1529,1014,1175,2018,King
0048.00,Upper,No,122.67,"$103,400","$126,841","$113,250",4772,11.09,529,1217,1960,2018,King
0049.00,Middle,No,116.35,"$103,400","$120,306","$107,419",6923,17.64,1221,852,1571,2018,King
0050.00,Upper,No,123.62,"$103,400","$127,823","$114,125",3695,13.67,505,545,884,2018,King
0051.00,Upper,No,140.42,"$103,400","$145,194","$129,632",3726,18.04,672,1049,1471,2018,King
0052.00,Upper,No,129.36,"$103,400","$133,758","$119,427",6644,42.73,2839,695,1015,2018,King
0053.01,Moderate,No,54.71,"$103,400","$56,570","$50,511",7377,48.66,3590,86,184,2018,King
0053.02,Unknown,No,0.00,"$103,400",$0,$0,5178,52.84,2736,4,27,2018,King
0054.00,Upper,No,133.34,"$103,400","$137,874","$123,102",5022,20.41,1025,1259,1675,2018,King
0056.00,Upper,No,188.12,"$103,400","$194,516","$173,667",6424,13.47,865,2364,2701,2018,King
0057.00,Middle,No,116.34,"$103,400","$120,296","$107,404",6633,17.04,1130,1737,2411,2018,King
0058.01,Middle,No,103.71,"$103,400","$107,236","$95,750",5212,28.26,1473,1046,1294,2018,King
0058.02,Middle,No,98.67,"$103,400","$102,025","$91,094",5216,26.00,1356,1006,1418,2018,King
